,0
55,It is an american retired professional tennis player and former world no. 1 who was one of the sport's most dominant players from the early 1990s to the mid-2000s.
56,"It is a founding member of saarc, bimstec, the bangladesh-china-india-myanmar forum for regional cooperation and the bangladesh bhutan india nepal initiative."
57,It is made from the blue agave plant.
58,Camp
59,"Barcelona was ranked first in the iffhs club world ranking for 1997, 2009, 2011, 2012 and 2015 and currently occupies the third position on the uefa club rankings."
60,Pixar
61,Iron fist is an american web television series created for netflix by scott buck.
62,"Dangerous beauty is a 1998 american biographical drama film directed by marshall herskovitz and starring catherine mccormack, rufus sewell, and oliver platt."
63,"Robert wise, howard hawks, otto preminger, joe dante, richard donner, roman polanski, ridley scott, michael winner, steven spielberg, paul verhoeven, and franklin j. schaffner."
64,The vampire diaries airing 171 episodes over eight seasons.
65,Cecil b. demille
66,Alandi -lrb- marathi
67,The world wide web almost thirty years before it was invented.
68,Guam
69,Lindsay anderson
70,A belgian professional footballer who plays as a striker for premier league club everton and the belgium national team.
71,Capone
72,A song of ice and fire is a series of epic fantasy novels by the american novelist and screenwriter george r. r. martin.
73,An american actress and singer.
74,More than 25 offices
75,Randy orton is a 13-time world champion.
76,"Twa, hutu and tutsi"
77,Charles john huffam dickens was an english writer and social critic.
78,The name of the nbc miniseries michael fassbender appeared in the fantasy war epic 300 -lrb- 2007 -rrb- as a spartan warrior.
79,"Eric trump's father's birthday is on september 11, 2018."
80,It is a country located in the horn of africa.
81,Canadian
82,Christopher nolan
83,"The films take place in a fictional historical setting ; a world ruled by the british empire, the east india trading company -lrb- based on the real east india company -rrb-, and the spanish empire, with pirates representing freedom from the ruling powers."
84,Ad-rock is married to musician and feminist activist kathleen hanna.
85,Led zeppelin ii was released on 22 october 1969 in the united states and on 31 october 1969 in the united kingdom by atlantic records.
86,Odysseus
87,"Ben stiller's role in zoolander is the secret life of walter mitty, zoolander, the cable guy, there's something about mary, the meet the parents trilogy, dodgeball, tropic thunder, the madagascar series, and the night at the museum trilogy."
88,"Turkey became an associate member of the eec in 1963, joined the eu customs union in 1995 and started accession negotiations with the european union in 2005."
89,Southern italy
90,1991
91,Farrah fawcett's work in tv movies also earned her four additional golden globe nominations.
92,"In film, judy greer is known for several supporting roles in romantic comedies."
93,Little mix are a british girl group formed in 2011 during the eighth series of the uk version of the x factor.
94,10 july 2015
95,Aguilera
96,"Lodging is done in a hotel, motel, hostel or hostal, a private home -lrb- commercial, i.e. a bed and breakfast, a guest house, a vacation rental, or non-commercially, with members of hospitality services or in the home of friends -rrb-, in a tent, caravan/camper -lrb- often on a campsite -rrb-."
97,Strong
98,Charles hardin holley
99,Hitler
