,evidence,claim,QA,best answer,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Q6,A6,Q7,A7,explanation
10,"Kong : Skull Island is a 2017 American action-adventure monster film directed by Jordan Vogt-Roberts and written by Dan Gilroy , Max Borenstein and Derek Connolly , from a story by John Gatins .",Kong: Skull Island is a book.,"[{'question': 'What is Kong: Skull Island?', 'answer': 'Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.'}, {'question': 'What is the name of Kong: Skull Island?', 'answer': 'Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.'}, {'question': 'What is the name of the book that is called Skull Island?', 'answer': 'Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.",What is Kong: Skull Island?,"Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.",What is the name of Kong: Skull Island?,"Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.",What is the name of the book that is called Skull Island?,"Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly.",None,None,None,None,None,None,None,None,"Skull island is a 2017 american action-adventure monster film directed by jordan vogt-roberts and written by dan gilroy, max borenstein and derek connolly."
11,"The Challenge -LRB- originally known as Road Rules : All Stars , followed by Real World/Road Rules Challenge -RRB- is a reality game show on MTV that is spun off from the network 's two reality shows , Real World and Road Rules .",The Challenge was a scripted show.,"[{'question': 'What was The Challenge?', 'answer': ""It is a reality game show on mtv that is spun off from the network's two reality shows, real world and road rules.""}, {'question': 'What was the name of the show that was scripted?', 'answer': 'The challenge -lrb'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","It is a reality game show on mtv that is spun off from the network's two reality shows, real world and road rules.",What was The Challenge?,"It is a reality game show on mtv that is spun off from the network's two reality shows, real world and road rules.",What was the name of the show that was scripted?,The challenge -lrb,None,None,None,None,None,None,None,None,None,None,"It is a reality game show on mtv that is spun off from the network's two reality shows, real world and road rules."
12,"Red Headed Stranger is a 1975 album by American outlaw country singer Willie Nelson . A concept album , Red Headed Stranger is about a fugitive on the run from the law after killing his wife and her lover .",Red Headed Stranger is a movie.,"[{'question': 'What is Red Headed Stranger?', 'answer': 'Red headed stranger is a 1975 album by american outlaw country singer willie nelson.'}, {'question': 'What is the movie Red Headed Stranger?', 'answer': 'Red headed stranger is a 1975 album by american outlaw country singer willie nelson.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Red headed stranger is a 1975 album by american outlaw country singer willie nelson.,What is Red Headed Stranger?,Red headed stranger is a 1975 album by american outlaw country singer willie nelson.,What is the movie Red Headed Stranger?,Red headed stranger is a 1975 album by american outlaw country singer willie nelson.,None,None,None,None,None,None,None,None,None,None,Red headed stranger is a 1975 album by american outlaw country singer willie nelson.
13,"Chester Charles Bennington -LRB- born March 20 , 1976 -RRB- is an American musician , singer , songwriter and actor . He is best known as the lead vocalist of rock bands Linkin Park , Dead by Sunrise , and live rock cover band Bucket of Weenies . He was originally the lead vocalist for Sean Dowdell And His Friends ? Bennington was the lead vocalist for Stone Temple Pilots from 2013 to 2015 . Bennington became known as a vocalist with Linkin Park 's debut album , Hybrid Theory , in 2000 , which was a massive commercial success .",Chester Bennington is not a singer.,"[{'question': 'What is Chester Bennington not?', 'answer': 'An american musician, singer, songwriter and actor.'}, {'question': 'Who is not a singer?', 'answer': 'Chester charles bennington is an american musician, singer, songwriter and actor.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Chester charles bennington is an american musician, singer, songwriter and actor.",What is Chester Bennington not?,"An american musician, singer, songwriter and actor.",Who is not a singer?,"Chester charles bennington is an american musician, singer, songwriter and actor.",None,None,None,None,None,None,None,None,None,None,"Chester charles bennington is an american musician, singer, songwriter and actor."
14,"David Robert Joseph Beckham , -LRB- -LSB- ˈbɛkəm -RSB- born 2 May 1975 -RRB- is an English former professional footballer .",David Beckham has zero middle names.,"[{'question': 'How many middle names does David Beckham have?', 'answer': 'David robert joseph beckham has two middle names.'}, {'question': 'What is the name of David Beckham?', 'answer': 'David robert joseph beckham is an english former professional footballer.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",David robert joseph beckham has two middle names.,How many middle names does David Beckham have?,David robert joseph beckham has two middle names.,What is the name of David Beckham?,David robert joseph beckham is an english former professional footballer.,None,None,None,None,None,None,None,None,None,None,David robert joseph beckham has two middle names.
15,"Jones is most famously played by Harrison Ford and has also been portrayed by River Phoenix -LRB- as the young Jones in The Last Crusade -RRB- and in the television series The Young Indiana Jones Chronicles by Corey Carrier , Sean Patrick Flanery , and George Hall .",Indiana Jones has only been portrayed by Harrison Ford.,"[{'question': 'Who portrayed Indiana Jones?', 'answer': 'River phoenix'}, {'question': 'What is the name of the character that played Indiana Jones?', 'answer': 'Harrison ford'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",River phoenix,Who portrayed Indiana Jones?,River phoenix,What is the name of the character that played Indiana Jones?,Harrison ford,None,None,None,None,None,None,None,None,None,None,River phoenix portrayed Indiana Jones.
16,"Shane Black directed a screenplay he co-wrote with Drew Pearce , which uses concepts from the `` Extremis '' story arc by Warren Ellis .",Shane Black and Chris Miller wrote Iron Man 3.,"[{'question': 'Who wrote Iron Man 3?', 'answer': 'Shane black'}, {'question': 'What was the name of the movie Shane Black and Chris Miller wrote?', 'answer': 'The name of the movie shane black and chris miller wrote.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Shane black,Who wrote Iron Man 3?,Shane black,What was the name of the movie Shane Black and Chris Miller wrote?,The name of the movie shane black and chris miller wrote.,None,None,None,None,None,None,None,None,None,None,Shane Black wrote Iron Man 3.
17,"Alani Nicole `` La La '' Anthony -LRB- née Vázquez ; born June 25 , 1979 -RRB- is a television personality , New York Times best-selling author , business woman , producer and actress .","La La Anthony was conceived on June 25th, 1979.","[{'question': 'What is the name of the organization that was founded on June 25, 1979?', 'answer': 'Alani nicole'}, {'question': 'When was La La Anthony conceived?', 'answer': 'La la anthony was born june 25, 1979.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Alani nicole,"What is the name of the organization that was founded on June 25, 1979?",Alani nicole,When was La La Anthony conceived?,"La la anthony was born june 25, 1979.",None,None,None,None,None,None,None,None,None,None,"The name of the organization that was founded on June 25, 1979 is Alani nicole."
18,"Filmfare is an English-language , tabloid-sized magazine about Hindi-language cinema , popularly known as Bollywood .",Filmfare is about cheese.,"[{'question': 'What is filmfare about cheese?', 'answer': 'Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema, popularly known as bollywood.'}, {'question': 'What is the film about?', 'answer': 'Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema, popularly known as bollywood.",What is filmfare about cheese?,"Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema, popularly known as bollywood.",What is the film about?,"Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema.",None,None,None,None,None,None,None,None,None,None,"Filmfare is an english-language, tabloid-sized magazine about hindi-language cinema, popularly known as bollywood."
19,"The original early 19th-century interior designs , many of which survive , include widespread use of brightly coloured scagliola and blue and pink lapis , on the advice of Sir Charles Long .",Buckingham Palace lacks brightly colored scagliola.,"[{'question': 'What is the brightly colored scagliola in Buckingham Palace?', 'answer': 'The brightly colored scagliola in buckingham palace is blue and pink lapis.'}, {'question': 'What is the only palace with brightly colored scagliola?', 'answer': 'The only palace with brightly colored scagliola is the palace of the royal palace.'}, {'question': 'What color are scagliola in Buckingham Palace?', 'answer': 'Blue and pink lapis'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The brightly colored scagliola in buckingham palace is blue and pink lapis.,What is the brightly colored scagliola in Buckingham Palace?,The brightly colored scagliola in buckingham palace is blue and pink lapis.,What is the only palace with brightly colored scagliola?,The only palace with brightly colored scagliola is the palace of the royal palace.,What color are scagliola in Buckingham Palace?,Blue and pink lapis,None,None,None,None,None,None,None,None,The brightly colored scagliola in buckingham palace is blue and pink lapis.
20,"In November 2008 , Lesnar defeated Randy Couture to become the UFC Heavyweight Champion .",Brock Lesnar married Randy Couture.,"[{'question': 'Who is the husband of Randy Couture?', 'answer': 'Lesnar'}, {'question': 'What is the name of the man that Brock Lesnar married?', 'answer': 'Brock lesnar married randy couture.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Lesnar,Who is the husband of Randy Couture?,Lesnar,What is the name of the man that Brock Lesnar married?,Brock lesnar married randy couture.,None,None,None,None,None,None,None,None,None,None,Lesnar is the husband of Randy Couture.
21,"It was released theatrically on March 16 , 2012 , by Columbia Pictures and Metro-Goldwyn-Mayer and grossed $ 201 million .","21 Jump Street was released June 16, 2012.","[{'question': 'When was 21 Jump Street released?', 'answer': 'March 16, 2012'}, {'question': 'What year was 21 Jump Street released?', 'answer': 'March 16, 2012'}, {'question': 'What is the name of the street that was released on June 16, 2012?', 'answer': 'Columbia pictures and metro-goldwyn-mayer'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","March 16, 2012",When was 21 Jump Street released?,"March 16, 2012",What year was 21 Jump Street released?,"March 16, 2012","What is the name of the street that was released on June 16, 2012?",Columbia pictures and metro-goldwyn-mayer,None,None,None,None,None,None,None,None,"21 Jump Street was released on March 16, 2012."
22,"Stephon Xavier Marbury -LRB- born February 20 , 1977 -RRB- is an American professional basketball player who most recently played for the Beijing Ducks of the Chinese Basketball Association -LRB- CBA -RRB- .",Stephon Marbury plays basketball in America.,"[{'question': 'Where does Stephon Marbury play basketball?', 'answer': 'Beijing ducks of the chinese basketball association.'}, {'question': 'Who plays basketball in America?', 'answer': 'Stephon xavier marbury'}, {'question': 'What sport does Stephon Marbury play?', 'answer': 'Basketball'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Beijing ducks of the chinese basketball association.,Where does Stephon Marbury play basketball?,Beijing ducks of the chinese basketball association.,Who plays basketball in America?,Stephon xavier marbury,What sport does Stephon Marbury play?,Basketball,None,None,None,None,None,None,None,None,Stephon Marbury plays basketball in Beijing ducks of the chinese basketball association.
23,"Julius Caesar is a 1953 epic Metro-Goldwyn-Mayer film adaptation of the play by Shakespeare , directed by Joseph L. Mankiewicz , who also wrote the uncredited screenplay , and produced by John Houseman .",Julius Caesar is only a book.,"[{'question': 'What is the name of Julius Caesar?', 'answer': 'Julius caesar is a 1953 epic metro-goldwyn-mayer film adaptation of the play by shakespeare.'}, {'question': 'Is Julius Caesar a book?', 'answer': 'Yes, julius caesar is a book.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Julius caesar is a 1953 epic metro-goldwyn-mayer film adaptation of the play by shakespeare.,What is the name of Julius Caesar?,Julius caesar is a 1953 epic metro-goldwyn-mayer film adaptation of the play by shakespeare.,Is Julius Caesar a book?,"Yes, julius caesar is a book.",None,None,None,None,None,None,None,None,None,None,Julius caesar is a 1953 epic metro-goldwyn-mayer film adaptation of the play by shakespeare.
24,"The film was directed by Julien Temple , featured David Bowie and Sade , and Patsy Kensit in one of her first mainstream roles .",Absolute Beginners was directed by Hitchcock.,"[{'question': 'Who directed Absolute Beginners?', 'answer': 'Julien temple'}, {'question': 'What is the name of the movie that was directed by Hitchcock?', 'answer': 'Julien temple'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Julien temple,Who directed Absolute Beginners?,Julien temple,What is the name of the movie that was directed by Hitchcock?,Julien temple,None,None,None,None,None,None,None,None,None,None,Julien temple directed Absolute Beginners.
25,"Dangerous Liaisons is a 1988 American historical drama film based upon Christopher Hampton 's play Les liaisons dangereuses , which in turn was a theatrical adaptation of the 18th-century French novel Les Liaisons dangereuses by Pierre Choderlos de Laclos .",Dangerous Liaisons is based on Christopher Hampton's novel.,"[{'question': ""What is the name of the novel based on Christopher Hampton's novel?"", 'answer': 'Dangerous liaisons'}, {'question': 'What is the basis of Dangerous Liaisons?', 'answer': ""Christopher hampton's play les liaisons dangereuses""}, {'question': 'Dangerous Liaisons is based on a novel by whom?', 'answer': 'Christopher hampton'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Christopher hampton's play les liaisons dangereuses,What is the name of the novel based on Christopher Hampton's novel?,Dangerous liaisons,What is the basis of Dangerous Liaisons?,Christopher hampton's play les liaisons dangereuses,Dangerous Liaisons is based on a novel by whom?,Christopher hampton,None,None,None,None,None,None,None,None,The basis of Dangerous Liaisons is Christopher hampton's play les liaisons dangereuses.
26,"It is bordered by the Atlantic Ocean to the east , the states of Connecticut and Rhode Island to the south , New Hampshire and Vermont to the north , and New York to the west .",Massachusetts is far away from Rhode Island.,"[{'question': 'What is the closest state to Massachusetts?', 'answer': 'The atlantic ocean'}, {'question': 'How far away is Massachusetts from Rhode Island?', 'answer': 'Connecticut is from rhode island.'}, {'question': 'What is the name of the state that is far away from Rhode Island?', 'answer': 'Connecticut'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Connecticut,What is the closest state to Massachusetts?,The atlantic ocean,How far away is Massachusetts from Rhode Island?,Connecticut is from rhode island.,What is the name of the state that is far away from Rhode Island?,Connecticut,None,None,None,None,None,None,None,None,The name of the state that is far away from Rhode Island is Connecticut.
27,"Stanton graduated from Notre Dame High School , before he was selected by the Marlins in the 2007 MLB draft .",Giancarlo Stanton was in the 2017 MLB draft.,"[{'question': 'When was Giancarlo Stanton selected for the 2017 MLB Draft?', 'answer': '2007'}, {'question': 'Who was in the 2017 MLB draft?', 'answer': 'Stanton was in the 2017 mlb draft.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",2007,When was Giancarlo Stanton selected for the 2017 MLB Draft?,2007,Who was in the 2017 MLB draft?,Stanton was in the 2017 mlb draft.,None,None,None,None,None,None,None,None,None,None,Giancarlo Stanton was selected for the 2017 MLB Draft in 2007.
